"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"70","Normal/Others","WS/MP490/2025-2026/241304-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Jakhini pitch road Daitrabhir Baba to Dheeraj Prajapatis house in Gram Sabha Bhimchandi Block Arazilines. Length 145.00 m","Shri Narendra Modi","VARANASI","Images","24-Feb-2026","775290"
"71","Normal/Others","WS/MP490/2025-2026/241306-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from main road to Jawahar Binds Chak in Gram Sabha Saraiya Block Arazilines. Length 120.00 m","Shri Narendra Modi","VARANASI","Images","28-Jul-2026","482598"
"72","Normal/Others","WS/MP490/2025-2026/241307-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Shyam Sundar Vishwakarmas house to Shiv temple in Gram Sabha Veersinghpur Block Arazilines. Length 82.00 m","Shri Narendra Modi","VARANASI","Images","29-Jan-2026","289939"
"73","Normal/Others","WS/MP490/2025-2026/241308-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Okar Singhs house to Mata Prasads house in Gram Sabha Singhi Block Arazilines. Length 82.00 m","Shri Narendra Modi","VARANASI","Images","26-Feb-2026","347961"
"74","Normal/Others","WS/MP490/2025-2026/241309-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Basantlal Binds house to pitch road in Gram Sabha Chakrapanpur Block Arazilines. Length 180.00 m","Shri Narendra Modi","VARANASI","Images","27-Feb-2026","744147"
"75","Normal/Others","WS/MP490/2025-2026/241333-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from interlocking to Kailash Vishwakarmas garden in Gram Sabha Dhadhorpur Block Arazilines. Length 85.00 m","Shri Narendra Modi","VARANASI","Images","28-Jul-2026","418468"
"76","Normal/Others","WS/MP490/2025-2026/241336-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Block Arazilines village Chandapur to lawyers house. Length 130.00 m","Shri Narendra Modi","VARANASI","Images","10-Jul-2026","811884"
"77","Normal/Others","WS/MP490/2025-2026/241335-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Chandapur pitch road to court house in Gram Sabha Jayapur Block Arazilines. Length 150.00 m","Shri Narendra Modi","VARANASI","Images","08-May-2026","694194"
"78","Normal/Others","WS/MP490/2025-2026/241334-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from old society to Kallu Gurus house in village Jakhini Block Arazilines. Length 145.00 m","Shri Narendra Modi","VARANASI","Images","02-Apr-2026","538104"
"79","Normal/Others","WS/MP490/2025-2026/241342-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Pradeep Shuklas shop to Hanuman temple in Gram Sabha Loharadih Block Sevapuri. Length 80.00 m","Shri Narendra Modi","VARANASI","Images","02-Apr-2026","463747"
"80","Normal/Others","WS/MP490/2025-2026/241341-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking from Shobhnath Jaiswals house to Rajnath Patels house in Gram Sabha Nayapur Block Sevapuri. Length 105.00 m","Shri Narendra Modi","VARANASI","Images","25-Feb-2026","516971"
"81","Normal/Others","WS/MP490/2025-2026/241340-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Jogiapur-Bhorkala Ramlakhan Pandeys field to Subhash Pandeys house in Gram Sabha Jogiapur Block Sevapuri. Length 120.00 m","Shri Narendra Modi","VARANASI","Images","08-May-2026","547461"
"82","Normal/Others","WS/MP490/2025-2026/241338-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Rita Sonkar wife of Ram Sajan Sonkars house to Anamika Singh wife of Prem Kumar Singhs house in village Govindpur Block Arazilines. Length 66.00 m","Shri Narendra Modi","VARANASI","Images","02-Apr-2026","401681"
"83","Normal/Others","WS/MP490/2025-2026/241357-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Nathes house to Umesh Singhs house in Gram Sabha Chaklola Block Sevapuri. Length 110.00 m","Shri Narendra Modi","VARANASI","Images","18-Jul-2026","465665"
"84","Normal/Others","WS/MP490/2025-2026/241363-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from behind Manoj Shuklas house to Munna Gauds house in Gram Sabha Sakalpur Block Sevapuri. Length 60.00 m","Shri Narendra Modi","VARANASI","Images","30-Jul-2026","283776"
"85","Normal/Others","WS/MP490/2025-2026/241362-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Hanuman Temple to Anarkali Girls Inter College in Gram Sabha Purashiv Block Sevapuri. Length 145.00 m","Shri Narendra Modi","VARANASI","Images","10-Jul-2026","809409"
"86","Normal/Others","WS/MP490/2025-2026/241361-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from pitch road to Ranjit Patels house in Village Sabha Bharhariya Block Sevapuri. Length 100.00 m","Shri Narendra Modi","VARANASI","Images","08-May-2026","511139"
"87","Normal/Others","WS/MP490/2025-2026/241360-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Dhaniram Binds house to Siyaram Binds house in Gram Sabha Thathra Block Sevapuri. Length 80.00 m","Shri Narendra Modi","VARANASI","Images","16-Jul-2026","379710"
"88","Normal/Others","WS/MP490/2025-2026/241359-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Government Veterinary Hospital to Sonkar Basti Baya Vanvasi Basti in Gram Sabha Sirihira Block Sevapuri. Length 156.00 m","Shri Narendra Modi","VARANASI","Images","16-Jul-2026","784888"
"89","Normal/Others","WS/MP490/2025-2026/241358-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Gopal Singhs house to Shri Rudranarayan Singhs door in Gram Sabha Dilawalpur Block Sevapuri. Length 65.00 m","Shri Narendra Modi","VARANASI","Images","30-Jul-2026","301856"
"90","Normal/Others","WS/MP490/2025-2026/241372-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Ramdhari Patel Bhola Doctor Vishwakarmas house to Maa Akali Pandal Punvasi Prajapatis house in village Rampur block Sevapuri, adjacent to pitch road. Length 75.00 m","Shri Narendra Modi","VARANASI","Images","03-Feb-2026","340916"
"91","Normal/Others","WS/MP490/2025-2026/241393-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from near Gajraj Yadavs house to Azad Vishwakarmas house in Gram Sabha Amini Block Sevapuri. Length 95.00 m","Shri Narendra Modi","VARANASI","Images","30-Jul-2026","360063"
"92","Normal/Others","WS/MP490/2025-2026/241392-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from pitch road to Sanjay Mauryas house in Gram Sabha Kundaria block Arazilines. Length 75.00 m","Shri Narendra Modi","VARANASI","Images","30-Jul-2026","221916"
"93","Normal/Others","WS/MP490/2025-2026/241391-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Mangala Prasad Singhs house to near Dehbaba temple in Gram Sabha Jansa block Arazilines. Length 150.00 m","Shri Narendra Modi","VARANASI","Images","03-Apr-2026","459060"
"94","Normal/Others","WS/MP490/2025-2026/241390-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from old Panchkroshi road to Devpat Pandeys house in Gram Sabha Chaukhandi Block Arazilines. Length 82.00 m","Shri Narendra Modi","VARANASI","Images","08-May-2026","319094"
"95","Normal/Others","WS/MP490/2025-2026/241389-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from pitch road to Shitala Prasad Dubeys house in village Naipura block Arazilines. Length 128.00 m","Shri Narendra Modi","VARANASI","Images","10-Jul-2026","530980"
"96","Normal/Others","WS/MP490/2025-2026/241388-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from the interlocking near Basdevs machine to Mathalus house in village Harsons block Arazilines. Length 105.00 m","Shri Narendra Modi","VARANASI","Images","16-Jul-2026","426104"
"97","Normal/Others","WS/MP490/2025-2026/241396-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Highway Service Lane Chandrama Singh Vakils house to Shyambalis house in Gram Sabha Veerbhanpur Block Arazilines. Length 170.00 m","Shri Narendra Modi","VARANASI","Images","20-Mar-2026","853044"
"98","Normal/Others","WS/MP490/2025-2026/241395-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from PS Public School gate to Fulgen Patels garden in Gram Sabha Mehdiganj Block Arajilines. Length 130.00 m","Shri Narendra Modi","VARANASI","Images","24-Jan-2026","583844"
"99","Normal/Others","WS/MP490/2025-2026/241394-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from near Khanjati Rajbhars house to Dayalus house in Gram Sabha Mubarakpur Block Arajilines. Length 100.00 m","Shri Narendra Modi","VARANASI","Images","28-Jul-2026","685912"
"100","Normal/Others","WS/MP490/2025-2026/241417-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from near Bahadurs house to Chamman Patels house in Gram Sabha Changwar Block Arazilines. Length 75.00 m","Shri Narendra Modi","VARANASI","Images","30-Jul-2026","268641"
"101","Normal/Others","WS/MP490/2025-2026/241419-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Pyarelals house to Sheetla Patels house in Gram Sabha Amini Block Sewapuri. Length 60.00 m","Shri Narendra Modi","VARANASI","Images","24-Jan-2026","213790"
"102","Normal/Others","WS/MP490/2025-2026/241425-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Shitala Prasads house to Vinod Pandeys house in Tendui, Block Sevapuri. Length 143.00 m","Shri Narendra Modi","VARANASI","Images","24-Jul-2026","625719"
"103","Normal/Others","WS/MP490/2025-2026/241424-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Varunapul to Hanuman temple in Gram Sabha Isarwar block Sevapuri. Length 84.54 m","Shri Narendra Modi","VARANASI","Images","30-Jul-2026","537642"
"104","Normal/Others","WS/MP490/2025-2026/241423-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from pitch road to Ashok Singhs house in village Kundariyar Block Arajilines. Length 150.00 m","Shri Narendra Modi","VARANASI","Images","02-Apr-2026","692334"
"105","Normal/Others","WS/MP490/2025-2026/241422-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Vindeshs house to Vijay Vishwakarmas house in village Khalispur block Arazilines. Length 105.00 m","Shri Narendra Modi","VARANASI","Images","24-Jan-2026","470726"
"106","Normal/Others","WS/MP490/2025-2026/241421-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Lalchand Patels house to Pancham Patels machine on Bhadohi main road in village Parmandapur Block Arazilines. Length 136.00 m","Shri Narendra Modi","VARANASI","Images","22-Feb-2026","577109"
"107","Normal/Others","WS/MP490/2025-2026/241420-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from RCC road to Sattimata temple near Bhaiyalals house in Gram Sabha Harsons, Block Arazilines. Length 32.00 m","Shri Narendra Modi","VARANASI","Images","06-Aug-2026","200228"
"108","Normal/Others","WS/MP490/2025-2026/241426-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Keshav Rajbhars house to Rajkumar Prajapatis house in Deipur Block Sevapuri. Length 98.00 m","Shri Narendra Modi","VARANASI","Images","04-Apr-2026","486782"
"109","Normal/Others","WS/MP490/2025-2026/241429-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from pitch road to Baba Pals house in Kursato Block Arazilines. Length 142.00 m","Shri Narendra Modi","VARANASI","Images","30-Jul-2026","663915"
"110","Normal/Others","WS/MP490/2025-2026/241430-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Om Prakash Mishras house to Satish Dubeys house in Pachwar Block Sevapuri. Length 80.00 m","Shri Narendra Modi","VARANASI","Images","30-Jul-2026","527385"
"111","Normal/Others","WS/MP490/2025-2026/241431-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from main road to marriage hall in Gram Sabha Beshupur Block Sevapuri. Length 91.00 m","Shri Narendra Modi","VARANASI","Images","30-Jul-2026","433258"
"112","Normal/Others","WS/MP490/2025-2026/241436-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Jeet Narayan Yadavs house in Gaddopur to Trimukhani to Kailash Singhs house in Gram Sabha Tendui Block Sevapuri. Length 135.00 m","Shri Narendra Modi","VARANASI","Images","24-Jul-2026","622537"
"113","Normal/Others","WS/MP490/2025-2026/241434-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Sunil Masters house to Rameshs house in Gram Ghosila Block Sevapuri. Length 100.00 m","Shri Narendra Modi","VARANASI","Images","30-Jul-2026","500220"
"114","Normal/Others","WS/MP490/2025-2026/241433-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Jitendra Pathaks house to Panchayat Bhawan in Gram Sabha Sonbarsa Block Sevapuri. Length 165.00 m","Shri Narendra Modi","VARANASI","Images","24-Jul-2026","795104"
"115","Normal/Others","WS/MP490/2025-2026/241438-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Nandlal Mauryas Gomti to Karan Mauryas house in Gram Sabha Gorai Block Sevapuri. Length 150.00 m","Shri Narendra Modi","VARANASI","Images","04-Apr-2026","652585"
"116","Normal/Others","WS/MP490/2025-2026/241437-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Keshav Prasads hand pump to Manikchandras machine in Gram Sabha Kursato Block Arazilines. Length 50.00 m","Shri Narendra Modi","VARANASI","Images","02-Apr-2026","239272"
"117","Normal/Others","WS/MP490/2024-2025/187448-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Daniyalpur Ward No. 37 From Kedar Prajapatis house no. 22-168 to Pappu Lahris house no. 22-168. Length 85.70 m","Shri Narendra Modi","VARANASI","Images","27-Nov-2025","164728"
"118","Normal/Others","WS/MP490/2024-2025/187538-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work from Gram Sabha Misirpur main road to Laxmi Singhs farm.Length 45 m.","Shri Narendra Modi","VARANASI","Images","09-Dec-2025","329102"
"119","Normal/Others","WS/MP490/2024-2025/187265-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Shivdaspur ward no. 04 from Guddu Gaurs house to Kamlesh Patels house. Length 130 m","Shri Narendra Modi","VARANASI","Images","12-Dec-2025","574896"
"120","Normal/Others","WS/MP490/2024-2025/187247-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in kandwa ward no. 19 from Raja Ram Prajapatis house in Awaleshpur to Manoj Chaurasias house. Length 29m.","Shri Narendra Modi","VARANASI","Images","12-Dec-2025","236236"
"121","Normal/Others","WS/MP490/2024-2025/187434-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Road construction, in shivpur ward no. 31 pitch road from Kundan Nagar Colony, Shivpur to SK Vermas house. Length 43 m","Shri Narendra Modi","VARANASI","Images","16-Dec-2025","648646"
"122","Normal/Others","WS/MP490/2024-2025/187238-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Kakarmatta ward no. 38  from Shyam Narayans house to Rajendra Prasads house in Nathupur, Length 22 m.","Shri Narendra Modi","VARANASI","Images","31-Dec-2025","156704"
"123","Normal/Others","WS/MP490/2024-2025/187241-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Kakarmatta ward no. 38  from Vijay Patels house in Nathupur to Ishwar Lal Patels house. Length 26 m.","Shri Narendra Modi","VARANASI","Images","31-Dec-2025","97232"
"124","Normal/Others","WS/MP490/2024-2025/187428-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Road construction in shivpur ward no. 31   from Sanyam Dubeys house to Ramji Pandeys house to Kundan Nagar, pitch length 78 m","Shri Narendra Modi","VARANASI","Images","02-Jan-2026","788712"
"125","Normal/Others","WS/MP490/2024-2025/187464-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Lane work in Koniya ward no. 68 from Golu Kanaujias residence to Smt. Jyoti Chandravanshis residence. Length 54 m","Shri Narendra Modi","VARANASI","Images","02-Jan-2026","173578"
"126","Normal/Others","WS/MP490/2024-2025/187246-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in kandwa ward no. 19 from Shyam Pandeys house to Renu Singhs house in Awaleshpur. Length 79.50 m.","Shri Narendra Modi","VARANASI","Images","13-Jan-2026","722750"
"127","Normal/Others","WS/MP490/2024-2025/187546-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Gram Sbha Maniyaripur from Munnalals house to behind Horilal Rajbhars house. Length 40 m.","Shri Narendra Modi","VARANASI","Images","13-Jan-2026","83072"
"128","Normal/Others","WS/MP490/2024-2025/187544-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","CC Road work in Gram Sabha Faridpur from Jafrabad main road and Dilip Guptas house to Harsh Singhs house. Length 70 m.","Shri Narendra Modi","VARANASI","Images","13-Jan-2026","507754"
"129","Normal/Others","WS/MP490/2024-2025/187261-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Sirgovardhan ward no. 23  from Dafi Shiv Mandir to Vijay Yadavs house. Length 92 m.","Shri Narendra Modi","VARANASI","Images","19-Jan-2026","371346"
"130","Normal/Others","WS/MP490/2024-2025/187482-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking in Gram  Ayodhyapur from Sirsa Link Road to Prem Masters house. Length 125 m.","Shri Narendra Modi","VARANASI","Images","13-Jan-2026","783992"
"131","Normal/Others","WS/MP490/2024-2025/187535-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Bhadav village from Prakash Malis house to Ram Chandra mali. Length 135 m.","Shri Narendra Modi","VARANASI","Images","14-Jan-2026","807710"
"132","Normal/Others","WS/MP490/2024-2025/187252-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Karoundi ward no. 33 from Dinesh Patels house in Karaudi to Hiralals house. Length 26.50 m.","Shri Narendra Modi","VARANASI","Images","14-Jan-2026","83426"
"133","Normal/Others","WS/MP490/2024-2025/187253-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Karoundi ward no. 33 from Sunil Patels house in Karaudi to Neeraj Mohan Walas house.Length 83 m.","Shri Narendra Modi","VARANASI","Images","14-Jan-2026","231398"
"134","Normal/Others","WS/MP490/2024-2025/187235-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Kakarmatta ward no. 38 from  Shivmurat Vermas house in Jalalipatti to Kripa Shankar Dixits house. Length 52 m.","Shri Narendra Modi","VARANASI","Images","14-Jan-2026","170864"
"135","Normal/Others","WS/MP490/2024-2025/187515-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Bankat Gram from Bachcha Lal Pyare Lal Patel to Ajay Mishras house. Length 370 m.","Shri Narendra Modi","VARANASI","Images","14-Jan-2026","1722918"
"136","Normal/Others","WS/MP490/2024-2025/187462-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Lane work in Koniya ward no. 68 from Shri Aalu Pal Jis residence to Shri Kallu Vishwakarma Jis residence. Length 28 m","Shri Narendra Modi","VARANASI","Images","14-Jan-2026","81302"
"137","Normal/Others","WS/MP490/2024-2025/187460-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Pitch Road work in Koniya ward no. 68 From GT Road Balu Mandi Bhadau to Palang Shahid Road. Length 118 m","Shri Narendra Modi","VARANASI","Images","19-Jan-2026","648292"
"138","Normal/Others","WS/MP490/2024-2025/187440-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking and sewer work in Ward No. 37 Daniyalpur Varanasi, in the house of Subhash Sonkar SA 22-168. Length 38.50 m","Shri Narendra Modi","VARANASI","Images","19-Jan-2026","259246"
"139","Normal/Others","WS/MP490/2024-2025/187449-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Daniyalpur Ward No. 37 From Nagina house no. 22-1 to Manoj Chauhan plot 19-100, length 63.80 m","Shri Narendra Modi","VARANASI","Images","19-Jan-2026","214524"
"140","Normal/Others","WS/MP490/2025-2026/241009-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Narayanpur Ward No 31 Shanti Bihar Colony Central Jail Road Interlocking work from P Ram house to Janaki Devis house Length 26 m","Shri Narendra Modi","VARANASI","Images","12-Mar-2026","66434"
"141","Normal/Others","WS/MP490/2025-2026/241008-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Sarsouli Ward No 16 Sharda Bihar Colony Mirapur Basahi Interlocking work from Kanchan Srivastava house to Jitendra Sonkar house Length 138 m","Shri Narendra Modi","VARANASI","Images","17-Mar-2026","686996"
"142","Normal/Others","WS/MP490/2024-2025/187453-Providing supply pipelines for drinking water","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Water pipeline, sewer and new stone in Ishwargangi ward no. 73 in the lane from K 57-4 Navapura to K57-16. Length 99.50 m","Shri Narendra Modi","VARANASI","Images","18-Apr-2026","243198"
"143","Normal/Others","WS/MP490/2025-2026/241128-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Ward No 40 Chetganj Interlocking work from C 423 to C 4265 Length 60m","Shri Narendra Modi","VARANASI","Images","18-Apr-2026","269866"
"144","Normal/Others","WS/MP490/2025-2026/240969-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Interlocking work in Ward No 92 Lallapura Kala from Hanuman Temple to HNo C15255 Ahmed house Length 65 m","Shri Narendra Modi","VARANASI","Images","18-Apr-2026","202134"
"145","Normal/Others","WS/MP490/2025-2026/241127-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Chetganj Ward No 40 C 4288 In closed lane in the lane of interlocking Usha Machinery Length 68 m","Shri Narendra Modi","VARANASI","Images","12-Aug-2026","359900"
