"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"60","Normal/Others","WS/MP490/2025-2026/241242-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from government pavement to Dr Rajmohan Patel house in village Maniyaripur Block Kashi Vidyapeeth Length 40 m","10-Oct-2025","15-Oct-2025","206000","Physical Inspection"
"61","Normal/Others","WS/MP490/2025-2026/241244-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Mahatma Gandhi School to Ranjit Kharwars house in ward no 4 village Shivdaspur Length 93 m","10-Oct-2025","15-Oct-2025","273000","Physical Inspection"
"62","Normal/Others","WS/MP490/2025-2026/241245-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Chak Road near Lalji to Madan house in Gram Sabha Dhanpalpur Block Kashi Vidyapeeth Length 83 m","10-Oct-2025","15-Oct-2025","342000","Physical Inspection"
"63","Normal/Others","WS/MP490/2025-2026/241246-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Rajesh Mistry house to Anil Patels house in Gram Sabha Bairwan Block Kashi Vidyapeeth Length 48 m","10-Oct-2025","15-Oct-2025","131000","Physical Inspection"
"64","Normal/Others","WS/MP490/2025-2026/241247-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Ramesh Sharma house to Atul Rais house in Ward No 4 Gram Sabha Shivdaspur Length 68 m","10-Oct-2025","15-Oct-2025","313526","Physical Inspection"
"65","Normal/Others","WS/MP490/2025-2026/241248-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Construction work of CC road from Thakur Prasad house to Minnu Rajbhar house in village Khulaspur Block Kashi Vidyapeeth Length 70 m","10-Oct-2025","15-Oct-2025","594838","Physical Inspection"
"66","Normal/Others","WS/MP490/2025-2026/241249-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from pitch road to primary school gate in Gram Sabha Pilkhani Block Kashi Vidyapeeth Length 30 m","10-Oct-2025","15-Oct-2025","170000","Sanction"
"67","Normal/Others","WS/MP490/2025-2026/241250-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Gangapur Link Road to Rohit Yadavs house in Village Kaneri Block Kashi Vidyapeeth Length 127 m","10-Oct-2025","15-Oct-2025","813000","Sanction"
"68","Normal/Others","WS/MP490/2025-2026/241251-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Chekhuri Patels house to Inspector Rajbhars house in Village Daudpur Block Kashi Vidyapeeth Length 105 m","10-Oct-2025","15-Oct-2025","483000","Physical Inspection"
"69","Normal/Others","WS/MP490/2025-2026/241297-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Gram Sabha Narsada, Block Arazilines Rajatalab Jakhini Pitch Road to Shivshankar Singh Pateljis house. Length 185.00 m","10-Oct-2025","17-Oct-2025","880786","Physical Inspection"
"70","Normal/Others","WS/MP490/2025-2026/241298-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Basant Rajbhars house to Shivchander Patels house in Gram Sabha Shahanshahpur, Block Arazilines. Length 80.00 m","10-Oct-2025","17-Oct-2025","362393","Physical Inspection"
"71","Normal/Others","WS/MP490/2025-2026/241299-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Hiralals house to Ravindra Kumars dairy in Gram Sabha Bhikharipur, Block Arazilines Harijan Basti. Length 82.00 m","10-Oct-2025","17-Oct-2025","417000","Time Estimation"
"72","Normal/Others","WS/MP490/2025-2026/241300-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Mungwar Link Road to Lallu Singhs farm in Gram Sabha Krishnadattpur, Block Arazilines. Length 160.00 m","10-Oct-2025","17-Oct-2025","562125","Physical Inspection"
"73","Normal/Others","WS/MP490/2025-2026/241301-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Ramu Patels house to Rinku Pathaks house in Gram Sabha Veersinghpur, Block Arazilines. Length 93.00 m","10-Oct-2025","17-Oct-2025","432790","Physical Inspection"
"74","Normal/Others","WS/MP490/2025-2026/241304-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Jakhini pitch road Daitrabhir Baba to Dheeraj Prajapatis house in Gram Sabha Bhimchandi Block Arazilines. Length 145.00 m","10-Oct-2025","17-Oct-2025","775290","Physical Inspection"
"75","Normal/Others","WS/MP490/2025-2026/241306-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from main road to Jawahar Binds Chak in Gram Sabha Saraiya Block Arazilines. Length 120.00 m","10-Oct-2025","17-Oct-2025","482598","Physical Inspection"
"76","Normal/Others","WS/MP490/2025-2026/241307-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Shyam Sundar Vishwakarmas house to Shiv temple in Gram Sabha Veersinghpur Block Arazilines. Length 82.00 m","10-Oct-2025","17-Oct-2025","289939","Physical Inspection"
"77","Normal/Others","WS/MP490/2025-2026/241308-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Okar Singhs house to Mata Prasads house in Gram Sabha Singhi Block Arazilines. Length 82.00 m","10-Oct-2025","17-Oct-2025","347961","Physical Inspection"
"78","Normal/Others","WS/MP490/2025-2026/241309-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Basantlal Binds house to pitch road in Gram Sabha Chakrapanpur Block Arazilines. Length 180.00 m","10-Oct-2025","17-Oct-2025","744147","Physical Inspection"
"79","Normal/Others","WS/MP490/2025-2026/241333-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from interlocking to Kailash Vishwakarmas garden in Gram Sabha Dhadhorpur Block Arazilines. Length 85.00 m","10-Oct-2025","17-Oct-2025","418468","Physical Inspection"
"80","Normal/Others","WS/MP490/2025-2026/241334-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from old society to Kallu Gurus house in village Jakhini Block Arazilines. Length 145.00 m","10-Oct-2025","17-Oct-2025","538104","Physical Inspection"
"81","Normal/Others","WS/MP490/2025-2026/241335-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Chandapur pitch road to court house in Gram Sabha Jayapur Block Arazilines. Length 150.00 m","10-Oct-2025","17-Oct-2025","694194","Physical Inspection"
"82","Normal/Others","WS/MP490/2025-2026/241336-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Block Arazilines village Chandapur to lawyers house. Length 130.00 m","10-Oct-2025","17-Oct-2025","811884","Physical Inspection"
"83","Normal/Others","WS/MP490/2025-2026/241337-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from main road to Mukesh Singhs house in village Shahanshahpur Block Arazilines. Length 100.00 m","10-Oct-2025","17-Oct-2025","570000","Time Estimation"
"84","Normal/Others","WS/MP490/2025-2026/241338-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Rita Sonkar wife of Ram Sajan Sonkars house to Anamika Singh wife of Prem Kumar Singhs house in village Govindpur Block Arazilines. Length 66.00 m","10-Oct-2025","17-Oct-2025","401681","Physical Inspection"
"85","Normal/Others","WS/MP490/2025-2026/241339-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from paved road (Jio tower) to Pramod Singhs house in Gram Sabha Barki Block Sevapuri. Length 70.00 m","10-Oct-2025","17-Oct-2025","406000","Time Estimation"
"86","Normal/Others","WS/MP490/2025-2026/241340-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Jogiapur-Bhorkala Ramlakhan Pandeys field to Subhash Pandeys house in Gram Sabha Jogiapur Block Sevapuri. Length 120.00 m","10-Oct-2025","17-Oct-2025","547461","Physical Inspection"
"87","Normal/Others","WS/MP490/2025-2026/241341-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking from Shobhnath Jaiswals house to Rajnath Patels house in Gram Sabha Nayapur Block Sevapuri. Length 105.00 m","10-Oct-2025","17-Oct-2025","516971","Physical Inspection"
"88","Normal/Others","WS/MP490/2025-2026/241342-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Pradeep Shuklas shop to Hanuman temple in Gram Sabha Loharadih Block Sevapuri. Length 80.00 m","10-Oct-2025","17-Oct-2025","463747","Physical Inspection"
"89","Normal/Others","WS/MP490/2025-2026/241357-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Nathes house to Umesh Singhs house in Gram Sabha Chaklola Block Sevapuri. Length 110.00 m","10-Oct-2025","17-Oct-2025","465665","Physical Inspection"
"90","Normal/Others","WS/MP490/2025-2026/241358-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Gopal Singhs house to Shri Rudranarayan Singhs door in Gram Sabha Dilawalpur Block Sevapuri. Length 65.00 m","10-Oct-2025","17-Oct-2025","301856","Physical Inspection"
"91","Normal/Others","WS/MP490/2025-2026/241359-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Government Veterinary Hospital to Sonkar Basti Baya Vanvasi Basti in Gram Sabha Sirihira Block Sevapuri. Length 156.00 m","10-Oct-2025","17-Oct-2025","784888","Physical Inspection"
"92","Normal/Others","WS/MP490/2025-2026/241360-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Dhaniram Binds house to Siyaram Binds house in Gram Sabha Thathra Block Sevapuri. Length 80.00 m","10-Oct-2025","17-Oct-2025","379710","Physical Inspection"
"93","Normal/Others","WS/MP490/2025-2026/241361-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from pitch road to Ranjit Patels house in Village Sabha Bharhariya Block Sevapuri. Length 100.00 m","10-Oct-2025","17-Oct-2025","512000","Work Completed"
"94","Normal/Others","WS/MP490/2025-2026/241362-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Hanuman Temple to Anarkali Girls Inter College in Gram Sabha Purashiv Block Sevapuri. Length 145.00 m","10-Oct-2025","17-Oct-2025","809409","Physical Inspection"
"95","Normal/Others","WS/MP490/2025-2026/241363-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from behind Manoj Shuklas house to Munna Gauds house in Gram Sabha Sakalpur Block Sevapuri. Length 60.00 m","10-Oct-2025","17-Oct-2025","283776","Physical Inspection"
"96","Normal/Others","WS/MP490/2025-2026/241364-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Mahendra Patels house to Ghure jis house in Gram Sabha Arjunpur Block Sevapuri. Length 105.00 m","10-Oct-2025","17-Oct-2025","443000","Time Estimation"
"97","Normal/Others","WS/MP490/2025-2026/241368-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from interlocking to Lalji Binds house in Gram Sabha Nevdhiya Block Sevapuri. Length 70.00 m","10-Oct-2025","17-Oct-2025","260000","Time Estimation"
"98","Normal/Others","WS/MP490/2025-2026/241372-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Ramdhari Patel Bhola Doctor Vishwakarmas house to Maa Akali Pandal Punvasi Prajapatis house in village Rampur block Sevapuri, adjacent to pitch road. Length 75.00 m","10-Oct-2025","17-Oct-2025","340916","Physical Inspection"
"99","Normal/Others","WS/MP490/2025-2026/241387-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from pitch road to Neeraj Singhs house in village Dilawalpur block Sevapuri. Length 178.00 m","10-Oct-2025","17-Oct-2025","871000","Time Estimation"
"100","Normal/Others","WS/MP490/2025-2026/241388-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from the interlocking near Basdevs machine to Mathalus house in village Harsons block Arazilines. Length 105.00 m","10-Oct-2025","17-Oct-2025","426104","Physical Inspection"
"101","Normal/Others","WS/MP490/2025-2026/241389-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from pitch road to Shitala Prasad Dubeys house in village Naipura block Arazilines. Length 128.00 m","10-Oct-2025","17-Oct-2025","530980","Physical Inspection"
"102","Normal/Others","WS/MP490/2025-2026/241390-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from old Panchkroshi road to Devpat Pandeys house in Gram Sabha Chaukhandi Block Arazilines. Length 82.00 m","10-Oct-2025","17-Oct-2025","320000","Work Completed"
"103","Normal/Others","WS/MP490/2025-2026/241391-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Mangala Prasad Singhs house to near Dehbaba temple in Gram Sabha Jansa block Arazilines. Length 150.00 m","10-Oct-2025","17-Oct-2025","459060","Physical Inspection"
"104","Normal/Others","WS/MP490/2025-2026/241392-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from pitch road to Sanjay Mauryas house in Gram Sabha Kundaria block Arazilines. Length 75.00 m","10-Oct-2025","17-Oct-2025","221916","Physical Inspection"
"105","Normal/Others","WS/MP490/2025-2026/241393-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from near Gajraj Yadavs house to Azad Vishwakarmas house in Gram Sabha Amini Block Sevapuri. Length 95.00 m","10-Oct-2025","17-Oct-2025","360063","Physical Inspection"
"106","Normal/Others","WS/MP490/2025-2026/241394-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from near Khanjati Rajbhars house to Dayalus house in Gram Sabha Mubarakpur Block Arajilines. Length 100.00 m","10-Oct-2025","17-Oct-2025","685912","Physical Inspection"
"107","Normal/Others","WS/MP490/2025-2026/241395-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from PS Public School gate to Fulgen Patels garden in Gram Sabha Mehdiganj Block Arajilines. Length 130.00 m","10-Oct-2025","17-Oct-2025","583844","Physical Inspection"
"108","Normal/Others","WS/MP490/2025-2026/241396-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Highway Service Lane Chandrama Singh Vakils house to Shyambalis house in Gram Sabha Veerbhanpur Block Arazilines. Length 170.00 m","10-Oct-2025","17-Oct-2025","853044","Physical Inspection"
"109","Normal/Others","WS/MP490/2025-2026/241417-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from near Bahadurs house to Chamman Patels house in Gram Sabha Changwar Block Arazilines. Length 75.00 m","10-Oct-2025","17-Oct-2025","268641","Physical Inspection"
"110","Normal/Others","WS/MP490/2025-2026/241418-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from near Chauthi Vishwakarmas house to Nanhe Upadhyays house in Gram Sabha Ganjari Block Arazilines. Length 130.00 m","10-Oct-2025","17-Oct-2025","690000","Time Estimation"
"111","Normal/Others","WS/MP490/2025-2026/241419-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Pyarelals house to Sheetla Patels house in Gram Sabha Amini Block Sewapuri. Length 60.00 m","10-Oct-2025","17-Oct-2025","213790","Physical Inspection"
"112","Normal/Others","WS/MP490/2025-2026/241420-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from RCC road to Sattimata temple near Bhaiyalals house in Gram Sabha Harsons, Block Arazilines. Length 32.00 m","10-Oct-2025","17-Oct-2025","200228","Physical Inspection"
"113","Normal/Others","WS/MP490/2025-2026/241421-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Lalchand Patels house to Pancham Patels machine on Bhadohi main road in village Parmandapur Block Arazilines. Length 136.00 m","10-Oct-2025","17-Oct-2025","577109","Physical Inspection"
"114","Normal/Others","WS/MP490/2025-2026/241422-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Vindeshs house to Vijay Vishwakarmas house in village Khalispur block Arazilines. Length 105.00 m","10-Oct-2025","17-Oct-2025","470726","Physical Inspection"
"115","Normal/Others","WS/MP490/2025-2026/241423-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from pitch road to Ashok Singhs house in village Kundariyar Block Arajilines. Length 150.00 m","10-Oct-2025","17-Oct-2025","692334","Physical Inspection"
"116","Normal/Others","WS/MP490/2025-2026/241424-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Varunapul to Hanuman temple in Gram Sabha Isarwar block Sevapuri. Length 84.54 m","10-Oct-2025","17-Oct-2025","540000","Physical Inspection"
"117","Normal/Others","WS/MP490/2025-2026/241425-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Shitala Prasads house to Vinod Pandeys house in Tendui, Block Sevapuri. Length 143.00 m","10-Oct-2025","17-Oct-2025","625719","Physical Inspection"
"118","Normal/Others","WS/MP490/2025-2026/241426-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Keshav Rajbhars house to Rajkumar Prajapatis house in Deipur Block Sevapuri. Length 98.00 m","10-Oct-2025","17-Oct-2025","486782","Physical Inspection"
"119","Normal/Others","WS/MP490/2025-2026/241429-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from pitch road to Baba Pals house in Kursato Block Arazilines. Length 142.00 m","10-Oct-2025","17-Oct-2025","663915","Physical Inspection"
"120","Normal/Others","WS/MP490/2025-2026/241430-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Om Prakash Mishras house to Satish Dubeys house in Pachwar Block Sevapuri. Length 80.00 m","10-Oct-2025","17-Oct-2025","527385","Physical Inspection"
"121","Normal/Others","WS/MP490/2025-2026/241431-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from main road to marriage hall in Gram Sabha Beshupur Block Sevapuri. Length 91.00 m","10-Oct-2025","17-Oct-2025","480000","Physical Inspection"
"122","Normal/Others","WS/MP490/2025-2026/241432-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Akbal Singhs house to Mahendra Singhs house in Gram Sabha Ghosila Block Sevapuri. Length 130.00 m","10-Oct-2025","17-Oct-2025","795000","Time Estimation"
"123","Normal/Others","WS/MP490/2025-2026/241433-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Jitendra Pathaks house to Panchayat Bhawan in Gram Sabha Sonbarsa Block Sevapuri. Length 165.00 m","10-Oct-2025","17-Oct-2025","795104","Physical Inspection"
"124","Normal/Others","WS/MP490/2025-2026/241434-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Sunil Masters house to Rameshs house in Gram Ghosila Block Sevapuri. Length 100.00 m","10-Oct-2025","17-Oct-2025","500220","Physical Inspection"
"125","Normal/Others","WS/MP490/2025-2026/241435-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from paved road to Vijay Bahadurs house in Gram Sabha Ghosila Block Sevapuri. Length 100.00 m","10-Oct-2025","17-Oct-2025","527000","Time Estimation"
"126","Normal/Others","WS/MP490/2025-2026/241436-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Jeet Narayan Yadavs house in Gaddopur to Trimukhani to Kailash Singhs house in Gram Sabha Tendui Block Sevapuri. Length 135.00 m","10-Oct-2025","17-Oct-2025","622537","Physical Inspection"
"127","Normal/Others","WS/MP490/2025-2026/241437-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Keshav Prasads hand pump to Manikchandras machine in Gram Sabha Kursato Block Arazilines. Length 50.00 m","10-Oct-2025","17-Oct-2025","239272","Physical Inspection"
"128","Normal/Others","WS/MP490/2025-2026/241438-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Nandlal Mauryas Gomti to Karan Mauryas house in Gram Sabha Gorai Block Sevapuri. Length 150.00 m","10-Oct-2025","17-Oct-2025","652585","Physical Inspection"
"129","Normal/Others","WS/MP490/2025-2026/241439-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Construction of 200 m RCC road from Bhaupur Kalikadham main road in Gram Sabha Pachwar Block Sevapuri. Length 184.00 m","10-Oct-2025","17-Oct-2025","984000","Time Estimation"
