"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Constituency","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"16","Normal/Others","WS/MP490/2025-2026/241016-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Daniyalpur Ward No 37 interlocking work from Kanhaiya Rajbhars house 19208 to Nurulhodas house no 19100P Length 195 m","10-Oct-2025","15-Oct-2025","677000","Sanction"
"17","Normal/Others","WS/MP490/2025-2026/241031-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Daniyalpur Ward No 37 Manoj Jaiswal alias Rajans house to 19226 Daniyal to Rajaram Pandit jis house Interlocking work Length 56 m","10-Oct-2025","15-Oct-2025","223000","Sanction"
"18","Normal/Others","WS/MP490/2025-2026/241032-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Akatha Ward No 41 Srinagar Colony Akatha Pahadia HNo 622 SRD up to Vashisht ji Maharaj house and HNo 62S11S1 interlocking work up to Smriti Shilpa Chatterjee wife Gautam Diwakar Shyam Kartik Choubey house L 100 m","10-Oct-2025","15-Oct-2025","970000","Physical Inspection"
"19","Normal/Others","WS/MP490/2025-2026/241033-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Interlocking work from Mr Govind Kumar Pandey house No 546ASR to Mr Suresh Singh house in Singh Basti in Ramrepur Ward No 59 Length 54 m","10-Oct-2025","15-Oct-2025","307000","Work Completed"
"20","Normal/Others","WS/MP490/2025-2026/241035-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Pahadiya Ward No 46 Sarnath Interlocking work from Dilip Prajapati HNo 17264 to Virendra Yadav HNo 17265 Length 154m","10-Oct-2025","15-Oct-2025","410876","Physical Inspection"
"21","Normal/Others","WS/MP490/2025-2026/241036-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Drainage and connecting road work from before RBS Academy to Vikas Pratap Singh house in Ramrepur Ward No 59 Bhakti Nagar Colony Length 76 m","10-Oct-2025","15-Oct-2025","748000","Physical Inspection"
"22","Normal/Others","WS/MP490/2025-2026/241037-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Sikraul Chowka resetting work from Umanath MNo SH 192 Bhim Nagar to Manoj Kumar MNo SH 1910 Length 45 m","10-Oct-2025","15-Oct-2025","103604","Physical Inspection"
"23","Normal/Others","WS/MP490/2025-2026/241126-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Rajghat Ward No 15 Interlocking work from Prema Devis house near Railway Colony through Ashu Upadhyays house to the front of Jagdish Sonkar house Length 186 m","10-Oct-2025","15-Oct-2025","505000","Sanction"
"24","Normal/Others","WS/MP490/2025-2026/241127-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Chetganj Ward No 40 C 4288 In closed lane in the lane of interlocking Usha Machinery Length 68 m","10-Oct-2025","15-Oct-2025","359900","Physical Inspection"
"25","Normal/Others","WS/MP490/2025-2026/241128-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","VARANASI(DISTRICT MAGISTRAE VARANASI_IDA)","Shri Narendra Modi","VARANASI","Ward No 40 Chetganj Interlocking work from C 423 to C 4265 Length 60m","10-Oct-2025","15-Oct-2025","269866","Physical Inspection"
